# Fourier series coefficients: function=Пилообразная f(x)=x N=20
n,an,bn,amplitude
0,0.00000000,0,0.00000000
1,-0.00000000,0.63661977,0.63661977
2,0.00000000,-0.31830989,0.31830989
3,-0.00000000,0.21220659,0.21220659
4,0.00000000,-0.15915494,0.15915494
5,-0.00000000,0.12732395,0.12732395
6,0.00000000,-0.10610330,0.10610330
7,-0.00000000,0.09094568,0.09094568
8,0.00000000,-0.07957747,0.07957747
9,-0.00000000,0.07073553,0.07073553
10,0.00000000,-0.06366198,0.06366198
11,-0.00000000,0.05787453,0.05787453
12,0.00000000,-0.05305165,0.05305165
13,-0.00000000,0.04897075,0.04897075
14,0.00000000,-0.04547284,0.04547284
15,-0.00000000,0.04244132,0.04244132
16,0.00000000,-0.03978874,0.03978874
17,-0.00000000,0.03744822,0.03744822
18,0.00000000,-0.03536777,0.03536777
19,-0.00000000,0.03350631,0.03350631
20,0.00000000,-0.03183099,0.03183099
