# function=Пилообразная f(x)=x N=20 FFT_points=512
x,f_x,fourier_sum,ifft_restored,error_fourier,error_ifft
-3.14159265,-1.00000000,0.00000000,-1.00000000,1.00000000,0.00000000
-3.12900110,-0.99599198,-0.15971393,-0.99599981,0.83627805,0.00000783
-3.11640955,-0.99198397,-0.31581656,-0.99199962,0.67616741,0.00001566
-3.10381799,-0.98797595,-0.46483990,-0.98799944,0.52313605,0.00002348
-3.09122644,-0.98396794,-0.60359587,-0.98399925,0.38037207,0.00003131
-3.07863488,-0.97995992,-0.72929965,-0.97999906,0.25066027,0.00003914
-3.06604333,-0.97595190,-0.83967413,-0.97599887,0.13627777,0.00004697
-3.05345178,-0.97194389,-0.93303065,-0.97199868,0.03891323,0.00005480
-3.04086022,-0.96793587,-1.00832246,-0.96799850,0.04038659,0.00006263
-3.02826867,-0.96392786,-1.06516872,-0.96399831,0.10124087,0.00007045
-3.01567712,-0.95991984,-1.10384842,-0.95999812,0.14392858,0.00007828
-3.00308556,-0.95591182,-1.12526484,-0.95599793,0.16935302,0.00008611
-2.99049401,-0.95190381,-1.13088310,-0.95199775,0.17897930,0.00009394
-2.97790246,-0.94789579,-1.12264405,-0.94799756,0.17474826,0.00010177
-2.96531090,-0.94388778,-1.10285949,-0.94399737,0.15897171,0.00010959
-2.95271935,-0.93987976,-1.07409403,-0.93999718,0.13421427,0.00011742
-2.94012779,-0.93587174,-1.03903989,-0.93599699,0.10316815,0.00012525
-2.92753624,-0.93186373,-1.00039073,-0.93199681,0.06852700,0.00013308
-2.91494469,-0.92785571,-0.96072095,-0.92799662,0.03286524,0.00014091
-2.90235313,-0.92384770,-0.92237611,-0.92399643,0.00147159,0.00014873
-2.88976158,-0.91983968,-0.88737951,-0.91999624,0.03246017,0.00015656
-2.87717003,-0.91583166,-0.85735916,-0.91599605,0.05847250,0.00016439
-2.86457847,-0.91182365,-0.83349783,-0.91199587,0.07832582,0.00017222
-2.85198692,-0.90781563,-0.81650803,-0.90799568,0.09130761,0.00018005
-2.83939536,-0.90380762,-0.80663199,-0.90399549,0.09717562,0.00018788
-2.82680381,-0.89979960,-0.80366577,-0.89999530,0.09613383,0.00019570
-2.81421226,-0.89579158,-0.80700502,-0.89599512,0.08878657,0.00020353
-2.80162070,-0.89178357,-0.81570914,-0.89199493,0.07607442,0.00021136
-2.78902915,-0.88777555,-0.82857967,-0.88799474,0.05919588,0.00021919
-2.77643760,-0.88376754,-0.84424782,-0.88399455,0.03951971,0.00022702
-2.76384604,-0.87975952,-0.86126632,-0.87999436,0.01849320,0.00023484
-2.75125449,-0.87575150,-0.87820006,-0.87599418,0.00244855,0.00024267
-2.73866293,-0.87174349,-0.89371081,-0.87199399,0.02196732,0.00025050
-2.72607138,-0.86773547,-0.90663155,-0.86799380,0.03889608,0.00025833
-2.71347983,-0.86372745,-0.91602662,-0.86399361,0.05229917,0.00026616
-2.70088827,-0.85971944,-0.92123516,-0.85999342,0.06151573,0.00027399
-2.68829672,-0.85571142,-0.92189598,-0.85599324,0.06618456,0.00028181
-2.67570517,-0.85170341,-0.91795337,-0.85199305,0.06624997,0.00028964
-2.66311361,-0.84769539,-0.90964447,-0.84799286,0.06194908,0.00029747
-2.65052206,-0.84368737,-0.89746959,-0.84399267,0.05378221,0.00030530
-2.63793050,-0.83967936,-0.88214821,-0.83999248,0.04246885,0.00031313
-2.62533895,-0.83567134,-0.86456375,-0.83599230,0.02889241,0.00032095
-2.61274740,-0.83166333,-0.84570092,-0.83199211,0.01403759,0.00032878
-2.60015584,-0.82765531,-0.82657972,-0.82799192,0.00107559,0.00033661
-2.58756429,-0.82364729,-0.80819019,-0.82399173,0.01545710,0.00034444
-2.57497274,-0.81963928,-0.79143184,-0.81999155,0.02820744,0.00035227
-2.56238118,-0.81563126,-0.77706114,-0.81599136,0.03857012,0.00036010
-2.54978963,-0.81162325,-0.76565008,-0.81199117,0.04597317,0.00036792
-2.53719807,-0.80761523,-0.75755778,-0.80799098,0.05005745,0.00037575
-2.52460652,-0.80360721,-0.75291648,-0.80399079,0.05069074,0.00038358
-2.51201497,-0.79959920,-0.75163211,-0.79999061,0.04796709,0.00039141
-2.49942341,-0.79559118,-0.75339904,-0.79599042,0.04219214,0.00039924
-2.48683186,-0.79158317,-0.75772744,-0.79199023,0.03385573,0.00040706
-2.47424031,-0.78757515,-0.76398115,-0.78799004,0.02359400,0.00041489
-2.46164875,-0.78356713,-0.77142343,-0.78398985,0.01214370,0.00042272
-2.44905720,-0.77955912,-0.77926740,-0.77998967,0.00029172,0.00043055
-2.43646565,-0.77555110,-0.78672781,-0.77598948,0.01117670,0.00043838
-2.42387409,-0.77154309,-0.79307109,-0.77198929,0.02152801,0.00044620
-2.41128254,-0.76753507,-0.79766040,-0.76798910,0.03012533,0.00045403
-2.39869098,-0.76352705,-0.79999303,-0.76398892,0.03646598,0.00046186
-2.38609943,-0.75951904,-0.79972829,-0.75998873,0.04020925,0.00046969
-2.37350788,-0.75551102,-0.79670405,-0.75598854,0.04119303,0.00047752
-2.36091632,-0.75150301,-0.79094161,-0.75198835,0.03943861,0.00048535
-2.34832477,-0.74749499,-0.78263866,-0.74798816,0.03514367,0.00049317
-2.33573322,-0.74348697,-0.77215130,-0.74398798,0.02866433,0.00050100
-2.32314166,-0.73947896,-0.75996646,-0.73998779,0.02048750,0.00050883
-2.31055011,-0.73547094,-0.74666683,-0.73598760,0.01119589,0.00051666
-2.29795855,-0.73146293,-0.73289065,-0.73198741,0.00142773,0.00052449
-2.28536700,-0.72745491,-0.71928909,-0.72798722,0.00816582,0.00053231
-2.27277545,-0.72344689,-0.70648397,-0.72398704,0.01696293,0.00054014
-2.26018389,-0.71943888,-0.69502850,-0.71998685,0.02441038,0.00054797
-2.24759234,-0.71543086,-0.68537348,-0.71598666,0.03005738,0.00055580
-2.23500079,-0.71142285,-0.67784095,-0.71198647,0.03358189,0.00056363
-2.22240923,-0.70741483,-0.67260671,-0.70798629,0.03480812,0.00057146
-2.20981768,-0.70340681,-0.66969275,-0.70398610,0.03371406,0.00057928
-2.19722612,-0.69939880,-0.66896968,-0.69998591,0.03042912,0.00058711
-2.18463457,-0.69539078,-0.67016885,-0.69598572,0.02522193,0.00059494
-2.17204302,-0.69138277,-0.67290313,-0.69198553,0.01847964,0.00060277
-2.15945146,-0.68737475,-0.67669478,-0.68798535,0.01067997,0.00061060
-2.14685991,-0.68336673,-0.68100855,-0.68398516,0.00235818,0.00061842
-2.13426836,-0.67935872,-0.68528763,-0.67998497,0.00592892,0.00062625
-2.12167680,-0.67535070,-0.68899027,-0.67598478,0.01363956,0.00063408
-2.10908525,-0.67134269,-0.69162447,-0.67198459,0.02028178,0.00064191
-2.09649369,-0.66733467,-0.69277885,-0.66798441,0.02544418,0.00064974
-2.08390214,-0.66332665,-0.69214749,-0.66398422,0.02882084,0.00065757
-2.07131059,-0.65931864,-0.68954752,-0.65998403,0.03022888,0.00066539
-2.05871903,-0.65531062,-0.68492835,-0.65598384,0.02961773,0.00067322
-2.04612748,-0.65130261,-0.67837217,-0.65198365,0.02706956,0.00068105
-2.03353593,-0.64729459,-0.67008584,-0.64798347,0.02279125,0.00068888
-2.02094437,-0.64328657,-0.66038493,-0.64398328,0.01709836,0.00069671
-2.00835282,-0.63927856,-0.64967097,-0.63998309,0.01039242,0.00070453
-1.99576126,-0.63527054,-0.63840367,-0.63598290,0.00313312,0.00071236
-1.98316971,-0.63126253,-0.62706984,-0.63198272,0.00419269,0.00072019
-1.97057816,-0.62725451,-0.61615124,-0.62798253,0.01110326,0.00072802
-1.95798660,-0.62324649,-0.60609334,-0.62398234,0.01715316,0.00073585
-1.94539505,-0.61923848,-0.59727693,-0.61998215,0.02196155,0.00074367
-1.93280350,-0.61523046,-0.58999463,-0.61598196,0.02523583,0.00075150
-1.92021194,-0.61122244,-0.58443340,-0.61198178,0.02678904,0.00075933
-1.90762039,-0.60721443,-0.58066428,-0.60798159,0.02655015,0.00076716
-1.89502884,-0.60320641,-0.57863984,-0.60398140,0.02456657,0.00077499
-1.88243728,-0.59919840,-0.57819939,-0.59998121,0.02099901,0.00078282
-1.86984573,-0.59519038,-0.57908138,-0.59598102,0.01610900,0.00079064
-1.85725417,-0.59118236,-0.58094221,-0.59198084,0.01024015,0.00079847
-1.84466262,-0.58717435,-0.58338006,-0.58798065,0.00379429,0.00080630
-1.83207107,-0.58316633,-0.58596202,-0.58398046,0.00279568,0.00081413
-1.81947951,-0.57915832,-0.58825289,-0.57998027,0.00909458,0.00082196
-1.80688796,-0.57515030,-0.58984363,-0.57598009,0.01469333,0.00082978
-1.79429641,-0.57114228,-0.59037759,-0.57197990,0.01923531,0.00083761
-1.78170485,-0.56713427,-0.58957301,-0.56797971,0.02243874,0.00084544
-1.76911330,-0.56312625,-0.58724021,-0.56397952,0.02411396,0.00085327
-1.75652174,-0.55911824,-0.58329257,-0.55997933,0.02417433,0.00086110
-1.74393019,-0.55511022,-0.57775060,-0.55597915,0.02264038,0.00086893
-1.73133864,-0.55110220,-0.57073899,-0.55197896,0.01963679,0.00087675
-1.71874708,-0.54709419,-0.56247691,-0.54797877,0.01538272,0.00088458
-1.70615553,-0.54308617,-0.55326225,-0.54397858,0.01017607,0.00089241
-1.69356398,-0.53907816,-0.54345106,-0.53997839,0.00437290,0.00090024
-1.68097242,-0.53507014,-0.53343340,-0.53597821,0.00163674,0.00090807
-1.66838087,-0.53106212,-0.52360736,-0.53197802,0.00745477,0.00091589
-1.65578931,-0.52705411,-0.51435288,-0.52797783,0.01270123,0.00092372
-1.64319776,-0.52304609,-0.50600719,-0.52397764,0.01703890,0.00093155
-1.63060621,-0.51903808,-0.49884331,-0.51997745,0.02019477,0.00093938
-1.61801465,-0.51503006,-0.49305303,-0.51597727,0.02197703,0.00094721
-1.60542310,-0.51102204,-0.48873547,-0.51197708,0.02228657,0.00095504
-1.59283155,-0.50701403,-0.48589181,-0.50797689,0.02112221,0.00096286
-1.58023999,-0.50300601,-0.48442647,-0.50397670,0.01857954,0.00097069
-1.56764844,-0.49899800,-0.48415461,-0.49997652,0.01484338,0.00097852
-1.55505688,-0.49498998,-0.48481539,-0.49597633,0.01017459,0.00098635
-1.54246533,-0.49098196,-0.48608998,-0.49197614,0.00489198,0.00099418
-1.52987378,-0.48697395,-0.48762318,-0.48797595,0.00064923,0.00100200
-1.51728222,-0.48296593,-0.48904712,-0.48397576,0.00608119,0.00100983
-1.50469067,-0.47895792,-0.49000554,-0.47997558,0.01104762,0.00101766
-1.49209912,-0.47494990,-0.49017697,-0.47597539,0.01522707,0.00102549
-1.47950756,-0.47094188,-0.48929542,-0.47197520,0.01835354,0.00103332
-1.46691601,-0.46693387,-0.48716713,-0.46797501,0.02023327,0.00104114
-1.45432445,-0.46292585,-0.48368250,-0.46397482,0.02075665,0.00104897
-1.44173290,-0.45891784,-0.47882226,-0.45997464,0.01990442,0.00105680
-1.42914135,-0.45490982,-0.47265776,-0.45597445,0.01774794,0.00106463
-1.41654979,-0.45090180,-0.46534530,-0.45197426,0.01444350,0.00107246
-1.40395824,-0.44689379,-0.45711492,-0.44797407,0.01022113,0.00108029
-1.39136669,-0.44288577,-0.44825452,-0.44397389,0.00536875,0.00108811
-1.37877513,-0.43887776,-0.43909039,-0.43997370,0.00021263,0.00109594
