# FFT spectrum: function=Пилообразная f(x)=x M=512
k,re,im,amplitude
0,-1.00000000,0.00000000,0.00195312
1,-1.00000000,-162.97261641,0.31831188
2,-1.00000000,-81.48324021,0.15915894
3,-1.00000000,-54.31875118,0.10610929
4,-1.00000000,-40.73548387,0.07958546
5,-1.00000000,-32.58470516,0.06367197
6,-1.00000000,-27.15017067,0.05306363
7,-1.00000000,-23.26777562,0.04548683
8,-1.00000000,-20.35546762,0.03980472
9,-1.00000000,-18.08988423,0.03538575
10,-1.00000000,-16.27700796,0.03185097
11,-1.00000000,-14.79337312,0.02895925
12,-1.00000000,-13.55666924,0.02654981
13,-1.00000000,-12.50991215,0.02451136
14,-1.00000000,-11.61239886,0.02276441
15,-1.00000000,-10.83428049,0.02125065
16,-1.00000000,-10.15317039,0.01992636
17,-1.00000000,-9.55194933,0.01875811
18,-1.00000000,-9.01730236,0.01771989
19,-1.00000000,-8.53871767,0.01679116
20,-1.00000000,-8.10778580,0.01595551
21,-1.00000000,-7.71769910,0.01519964
22,-1.00000000,-7.36288764,0.01451267
23,-1.00000000,-7.03875020,0.01388561
24,-1.00000000,-6.74145241,0.01331097
25,-1.00000000,-6.46777338,0.01278247
26,-1.00000000,-6.21498777,0.01229477
27,-1.00000000,-5.98077396,0.01184336
28,-1.00000000,-5.76314201,0.01142433
29,-1.00000000,-5.56037641,0.01103434
30,-1.00000000,-5.37099044,0.01067049
31,-1.00000000,-5.19368915,0.01033024
32,-1.00000000,-5.02733949,0.01001139
33,-1.00000000,-4.87094575,0.00971198
34,-1.00000000,-4.72362933,0.00943031
35,-1.00000000,-4.58461206,0.00916485
36,-1.00000000,-4.45320222,0.00891426
37,-1.00000000,-4.32878288,0.00867732
38,-1.00000000,-4.21080203,0.00845296
39,-1.00000000,-4.09876429,0.00824021
40,-1.00000000,-3.99222378,0.00803821
41,-1.00000000,-3.89077817,0.00784616
42,-1.00000000,-3.79406340,0.00766335
43,-1.00000000,-3.70174929,0.00748915
44,-1.00000000,-3.61353568,0.00732295
45,-1.00000000,-3.52914907,0.00716424
46,-1.00000000,-3.44833976,0.00701252
47,-1.00000000,-3.37087928,0.00686735
48,-1.00000000,-3.29655821,0.00672831
49,-1.00000000,-3.22518421,0.00659503
50,-1.00000000,-3.15658033,0.00646717
51,-1.00000000,-3.09058351,0.00634441
52,-1.00000000,-3.02704320,0.00622645
53,-1.00000000,-2.96582024,0.00611303
54,-1.00000000,-2.90678576,0.00600388
55,-1.00000000,-2.84982026,0.00589879
56,-1.00000000,-2.79481277,0.00579752
57,-1.00000000,-2.74166012,0.00569988
58,-1.00000000,-2.69026624,0.00560568
59,-1.00000000,-2.64054157,0.00551475
60,-1.00000000,-2.59240252,0.00542693
61,-1.00000000,-2.54577098,0.00534206
62,-1.00000000,-2.50057389,0.00525999
63,-1.00000000,-2.45674280,0.00518060
64,-1.00000000,-2.41421356,0.00510376
65,-1.00000000,-2.37292595,0.00502935
66,-1.00000000,-2.33282340,0.00495727
67,-1.00000000,-2.29385273,0.00488740
68,-1.00000000,-2.25596385,0.00481966
69,-1.00000000,-2.21910962,0.00475394
70,-1.00000000,-2.18324555,0.00469017
71,-1.00000000,-2.14832967,0.00462826
72,-1.00000000,-2.11432236,0.00456812
73,-1.00000000,-2.08118613,0.00450970
74,-1.00000000,-2.04888553,0.00445292
75,-1.00000000,-2.01738702,0.00439772
76,-1.00000000,-1.98665879,0.00434403
77,-1.00000000,-1.95667070,0.00429179
78,-1.00000000,-1.92739416,0.00424096
79,-1.00000000,-1.89880199,0.00419147
80,-1.00000000,-1.87086841,0.00414327
81,-1.00000000,-1.84356889,0.00409633
82,-1.00000000,-1.81688009,0.00405058
83,-1.00000000,-1.79077980,0.00400600
84,-1.00000000,-1.76524687,0.00396253
85,-1.00000000,-1.74026114,0.00392015
86,-1.00000000,-1.71580337,0.00387880
87,-1.00000000,-1.69185523,0.00383846
88,-1.00000000,-1.66839921,0.00379909
89,-1.00000000,-1.64541857,0.00376067
90,-1.00000000,-1.62289733,0.00372315
91,-1.00000000,-1.60082020,0.00368651
92,-1.00000000,-1.57917257,0.00365072
93,-1.00000000,-1.55794043,0.00361575
94,-1.00000000,-1.53711039,0.00358158
95,-1.00000000,-1.51666960,0.00354818
96,-1.00000000,-1.49660576,0.00351553
97,-1.00000000,-1.47690707,0.00348361
98,-1.00000000,-1.45756220,0.00345239
99,-1.00000000,-1.43856029,0.00342185
100,-1.00000000,-1.41989090,0.00339197
101,-1.00000000,-1.40154402,0.00336274
102,-1.00000000,-1.38351001,0.00333413
103,-1.00000000,-1.36577961,0.00330612
104,-1.00000000,-1.34834391,0.00327871
105,-1.00000000,-1.33119436,0.00325187
106,-1.00000000,-1.31432270,0.00322558
107,-1.00000000,-1.29772099,0.00319984
108,-1.00000000,-1.28138158,0.00317462
109,-1.00000000,-1.26529711,0.00314991
110,-1.00000000,-1.24946047,0.00312570
111,-1.00000000,-1.23386481,0.00310198
112,-1.00000000,-1.21850353,0.00307873
113,-1.00000000,-1.20337024,0.00305594
114,-1.00000000,-1.18845880,0.00303360
115,-1.00000000,-1.17376327,0.00301169
116,-1.00000000,-1.15927791,0.00299021
117,-1.00000000,-1.14499717,0.00296915
118,-1.00000000,-1.13091569,0.00294849
119,-1.00000000,-1.11702829,0.00292822
120,-1.00000000,-1.10332998,0.00290834
121,-1.00000000,-1.08981589,0.00288884
122,-1.00000000,-1.07648134,0.00286971
123,-1.00000000,-1.06332179,0.00285093
124,-1.00000000,-1.05033285,0.00283250
125,-1.00000000,-1.03751026,0.00281442
126,-1.00000000,-1.02484989,0.00279667
127,-1.00000000,-1.01234777,0.00277924
128,-1.00000000,-1.00000000,0.00276214
129,-1.00000000,-0.98780284,0.00274534
130,-1.00000000,-0.97575265,0.00272885
131,-1.00000000,-0.96384589,0.00271266
132,-1.00000000,-0.95207915,0.00269677
133,-1.00000000,-0.94044908,0.00268115
134,-1.00000000,-0.92895247,0.00266582
135,-1.00000000,-0.91758618,0.00265076
136,-1.00000000,-0.90634717,0.00263597
137,-1.00000000,-0.89523247,0.00262144
138,-1.00000000,-0.88423922,0.00260717
139,-1.00000000,-0.87336461,0.00259315
140,-1.00000000,-0.86260593,0.00257937
141,-1.00000000,-0.85196055,0.00256584
142,-1.00000000,-0.84142588,0.00255255
143,-1.00000000,-0.83099944,0.00253948
144,-1.00000000,-0.82067879,0.00252665
145,-1.00000000,-0.81046156,0.00251404
146,-1.00000000,-0.80034545,0.00250164
147,-1.00000000,-0.79032821,0.00248946
148,-1.00000000,-0.78040766,0.00247750
149,-1.00000000,-0.77058167,0.00246574
150,-1.00000000,-0.76084816,0.00245418
151,-1.00000000,-0.75120511,0.00244282
152,-1.00000000,-0.74165055,0.00243166
153,-1.00000000,-0.73218255,0.00242069
154,-1.00000000,-0.72279925,0.00240991
155,-1.00000000,-0.71349882,0.00239931
156,-1.00000000,-0.70427946,0.00238890
157,-1.00000000,-0.69513944,0.00237866
158,-1.00000000,-0.68607707,0.00236860
159,-1.00000000,-0.67709067,0.00235872
160,-1.00000000,-0.66817864,0.00234900
161,-1.00000000,-0.65933938,0.00233946
162,-1.00000000,-0.65057136,0.00233007
163,-1.00000000,-0.64187306,0.00232085
164,-1.00000000,-0.63324302,0.00231179
165,-1.00000000,-0.62467977,0.00230289
166,-1.00000000,-0.61618193,0.00229414
167,-1.00000000,-0.60774810,0.00228554
168,-1.00000000,-0.59937693,0.00227709
169,-1.00000000,-0.59106712,0.00226879
170,-1.00000000,-0.58281737,0.00226063
171,-1.00000000,-0.57462640,0.00225262
