# x	f(x)	S_N(x)
-3.141593	0.000000	0.000000
-3.135309	0.000002	0.000021
-3.129026	0.000006	0.000082
-3.122743	0.000014	0.000184
-3.116460	0.000025	0.000327
-3.110177	0.000039	0.000510
-3.103894	0.000057	0.000733
-3.097610	0.000077	0.000994
-3.091327	0.000101	0.001294
-3.085044	0.000128	0.001631
-3.078761	0.000158	0.002005
-3.072478	0.000191	0.002414
-3.066194	0.000227	0.002857
-3.059911	0.000267	0.003334
-3.053628	0.000309	0.003842
-3.047345	0.000355	0.004382
-3.041062	0.000404	0.004950
-3.034779	0.000456	0.005547
-3.028495	0.000511	0.006170
-3.022212	0.000569	0.006819
-3.015929	0.000631	0.007491
-3.009646	0.000695	0.008185
-3.003363	0.000763	0.008900
-2.997079	0.000834	0.009634
-2.990796	0.000908	0.010385
-2.984513	0.000985	0.011153
-2.978230	0.001065	0.011936
-2.971947	0.001148	0.012732
-2.965663	0.001234	0.013540
-2.959380	0.001324	0.014359
-2.953097	0.001417	0.015187
-2.946814	0.001512	0.016023
-2.940531	0.001611	0.016865
-2.934248	0.001713	0.017713
-2.927964	0.001818	0.018566
-2.921681	0.001926	0.019422
-2.915398	0.002037	0.020279
-2.909115	0.002151	0.021138
-2.902832	0.002268	0.021998
-2.896548	0.002388	0.022856
-2.890265	0.002512	0.023713
-2.883982	0.002638	0.024567
-2.877699	0.002768	0.025418
-2.871416	0.002900	0.026266
-2.865133	0.003035	0.027108
-2.858849	0.003174	0.027946
-2.852566	0.003315	0.028777
-2.846283	0.003460	0.029602
-2.840000	0.003608	0.030421
-2.833717	0.003758	0.031232
-2.827433	0.003912	0.032035
-2.821150	0.004068	0.032830
-2.814867	0.004228	0.033617
-2.808584	0.004390	0.034395
-2.802301	0.004555	0.035164
-2.796017	0.004724	0.035924
-2.789734	0.004895	0.036674
-2.783451	0.005069	0.037414
-2.777168	0.005247	0.038145
-2.770885	0.005427	0.038866
-2.764602	0.005610	0.039576
-2.758318	0.005796	0.040277
-2.752035	0.005985	0.040967
-2.745752	0.006176	0.041646
-2.739469	0.006371	0.042316
-2.733186	0.006568	0.042975
-2.726902	0.006769	0.043624
-2.720619	0.006972	0.044262
-2.714336	0.007178	0.044890
-2.708053	0.007387	0.045508
-2.701770	0.007599	0.046115
-2.695486	0.007813	0.046713
-2.689203	0.008031	0.047300
-2.682920	0.008251	0.047877
-2.676637	0.008474	0.048444
-2.670354	0.008699	0.049002
-2.664071	0.008928	0.049550
-2.657787	0.009159	0.050088
-2.651504	0.009393	0.050616
-2.645221	0.009630	0.051135
-2.638938	0.009869	0.051645
-2.632655	0.010112	0.052146
-2.626371	0.010357	0.052637
-2.620088	0.010604	0.053120
-2.613805	0.010854	0.053594
-2.607522	0.011107	0.054059
-2.601239	0.011363	0.054515
-2.594956	0.011621	0.054963
-2.588672	0.011882	0.055403
